"Product_ID","Start_Date","End_Date","Unit_Sales_Price","Discount"
"210100100027","01MAY1999","31MAY1999","$15.99","70%"
"210100100027","01MAY2000","31MAY2000","$15.99","70%"
"210100100027","01MAY2001","31MAY2001","$16.99","70%"
"210100100027","01MAY2002","31MAY2002","$17.99","70%"
"210100100030","01AUG1999","31AUG1999","$28.99","70%"
"210100100030","01AUG2000","31AUG2000","$29.99","70%"
"210100100030","01AUG2001","31AUG2001","$30.99","70%"
"210100100030","01AUG2002","31AUG2002","$32.99","70%"
"210100100033","01AUG1999","31AUG1999","$139.99","70%"
"210100100033","01AUG2000","31AUG2000","$146.99","70%"
"210100100033","01AUG2001","31AUG2001","$153.99","70%"
"210100100033","01AUG2002","31AUG2002","$161.99","70%"
"210100100034","01AUG1999","31AUG1999","$181.99","70%"
"210100100034","01AUG2000","31AUG2000","$183.99","70%"
"210100100034","01AUG2001","31AUG2001","$185.99","70%"
"210100100034","01AUG2002","31AUG2002","$187.99","70%"
"210100100035","01MAY1999","31MAY1999","$149.99","70%"
"210100100035","01MAY2000","31MAY2000","$156.99","70%"
"210100100035","01MAY2001","31MAY2001","$164.99","70%"
"210100100035","01MAY2002","31MAY2002","$172.99","70%"
"210100100038","01JUL1999","31JUL1999","$51.99","60%"
"210100100038","01JUL2000","31JUL2000","$53.99","60%"
"210100100038","01JUL2001","31JUL2001","$56.99","60%"
"210100100038","01JUL2002","31JUL2002","$59.99","60%"
"210100100039","01JUN1999","31AUG1999","$18.99","70%"
"210100100039","01JUN2000","31AUG2000","$19.99","70%"
"210100100039","01JUN2001","31AUG2001","$20.99","70%"
"210100100039","01JUN2002","31AUG2002","$21.99","70%"
"210100100048","01AUG1999","31AUG1999","$12.99","70%"
"210100100048","01AUG2000","31AUG2000","$12.99","70%"
"210100100048","01AUG2001","31AUG2001","$13.99","70%"
"210100100048","01AUG2002","31AUG2002","$13.99","70%"
"210100100049","01AUG1999","31AUG1999","$10.99","70%"
"210100100049","01AUG2000","31AUG2000","$10.99","70%"
"210100100049","01AUG2001","31AUG2001","$10.99","70%"
"210100100049","01AUG2002","31AUG2002","$10.99","70%"
"210200100007","01DEC1999","31DEC1999","$12.99","50%"
"210200100007","01DEC2000","31DEC2000","$12.99","50%"
"210200100007","01DEC2001","31DEC2001","$12.99","50%"
"210200100007","01DEC2002","31DEC2002","$12.99","50%"
"210200100010","01JUL1999","31JUL1999","$25.99","60%"
"210200100010","01JUL2000","31JUL2000","$25.99","60%"
"210200100010","01JUL2001","31JUL2001","$26.99","60%"
"210200100010","01JUL2002","31JUL2002","$26.99","60%"
"210200100012","01AUG1999","31AUG1999","$12.99","70%"
"210200100012","01AUG2000","31AUG2000","$12.99","70%"
"210200100012","01AUG2001","31AUG2001","$13.99","70%"
"210200100012","01AUG2002","31AUG2002","$13.99","70%"
"210200100014","01JUL1999","31JUL1999","$20.99","60%"
"210200100014","01JUL2000","31JUL2000","$21.99","60%"
"210200100014","01JUL2001","31JUL2001","$21.99","60%"
"210200100014","01JUL2002","31JUL2002","$21.99","60%"
"210200100015","01AUG1999","31AUG1999","$24.99","70%"
"210200100015","01AUG2000","31AUG2000","$25.99","70%"
"210200100015","01AUG2001","31AUG2001","$26.99","70%"
"210200100015","01AUG2002","31AUG2002","$26.99","70%"
"210200100016","01AUG1999","31AUG1999","$21.99","70%"
"210200100016","01AUG2000","31AUG2000","$22.99","70%"
"210200100016","01AUG2001","31AUG2001","$22.99","70%"
"210200100016","01AUG2002","31AUG2002","$22.99","70%"
"210200200001","01JUL1999","31JUL1999","$9.99","60%"
"210200200001","01JUL2000","31JUL2000","$9.99","60%"
"210200200001","01JUL2001","31JUL2001","$9.99","60%"
"210200200001","01JUL2002","31JUL2002","$10.99","60%"
"210200200020","01JUL1999","31JUL1999","$10.99","60%"
"210200200020","01JUL2000","31JUL2000","$10.99","60%"
"210200200020","01JUL2001","31JUL2001","$10.99","60%"
"210200200020","01JUL2002","31JUL2002","$10.99","60%"
"210200200026","01JUL1999","31JUL1999","$11.99","60%"
"210200200026","01JUL2000","31JUL2000","$11.99","60%"
"210200200026","01JUL2001","31JUL2001","$12.99","60%"
"210200200026","01JUL2002","31JUL2002","$12.99","60%"
"210200200028","01JUN1999","30JUN1999","$15.99","60%"
"210200200028","01JUN2000","30JUN2000","$16.99","60%"
"210200200028","01JUN2001","30JUN2001","$16.99","60%"
"210200200028","01JUN2002","30JUN2002","$17.99","60%"
"210200200030","01AUG1999","31AUG1999","$30.99","70%"
"210200200030","01AUG2000","31AUG2000","$31.99","70%"
"210200200030","01AUG2001","31AUG2001","$33.99","70%"
"210200200030","01AUG2002","31AUG2002","$34.99","70%"
"210200300012","01JUL1999","31JUL1999","$11.99","60%"
"210200300012","01JUL2000","31JUL2000","$11.99","60%"
"210200300012","01JUL2001","31JUL2001","$11.99","60%"
"210200300012","01JUL2002","31JUL2002","$11.99","60%"
"210200300013","01DEC1999","31DEC1999","$7.99","50%"
"210200300013","01DEC2000","31DEC2000","$7.99","50%"
"210200300013","01DEC2001","31DEC2001","$7.99","50%"
"210200300013","01DEC2002","31DEC2002","$7.99","50%"
"210200300025","01DEC1999","31DEC1999","$22.99","50%"
"210200300025","01DEC2000","31DEC2000","$22.99","50%"
